date,tests,new_tests,cases,active_cases,new_cases,hospitalized,in_icu,recovered,newly_recovered,deaths,new_deaths
2020-03-08,,,4,4,4,,,0,0,0,0
2020-03-09,,,4,4,0,,,0,0,0,0
2020-03-10,,,6,6,2,,,0,0,0,0
2020-03-11,,,7,6,1,,,0,0,1,1
2020-03-12,,,23,22,16,,,0,0,1,0
2020-03-13,,,31,30,8,,,0,0,1,0
2020-03-14,,,41,39,10,,,0,0,2,1
2020-03-15,,,51,49,10,,,0,0,2,0
2020-03-16,,,62,60,11,,,0,0,2,0
2020-03-17,,,81,79,19,,,0,0,2,0
2020-03-18,,,92,90,11,,,0,0,2,0
2020-03-19,,,107,104,15,,,0,0,3,1
2020-03-20,,,127,123,20,,,1,1,3,0
2020-03-21,,,163,157,36,,,3,2,3,0
2020-03-22,,,185,179,22,,,3,0,3,0
2020-03-23,,,201,195,16,,,3,0,3,0
2020-03-24,,,218,212,17,,,3,0,3,0
2020-03-25,,,242,235,24,,,4,1,3,0
2020-03-26,,,264,253,22,,,8,4,3,0
2020-03-27,,,293,281,29,99,,9,1,3,0
2020-03-28,,,331,313,38,122,8,11,2,7,4
2020-03-29,,,346,324,15,125,13,14,3,8,1
2020-03-30,,,359,334,13,127,13,17,3,8,0
2020-03-31,,,399,374,40,146,14,17,0,8,0
2020-04-01,,,422,393,23,207,18,20,3,9,1
2020-04-02,,,457,422,35,179,18,25,5,10,1
2020-04-03,,,485,441,28,173,21,30,5,14,4
2020-04-04,,,503,452,18,192,26,34,4,17,3
2020-04-05,,,531,474,28,210,22,37,3,20,3
2020-04-06,,,549,488,18,201,26,39,2,22,2
2020-04-07,,,577,512,28,213,21,42,3,23,1
2020-04-08,,,593,527,16,233,27,42,0,24,1
2020-04-09,,,618,546,25,230,32,48,6,24,0
2020-04-10,,,635,556,17,231,33,54,6,25,1
2020-04-11,,,661,571,26,230,35,62,8,28,3
2020-04-12,,,675,578,14,230,36,68,6,29,1
2020-04-13,,,685,582,10,230,36,71,3,32,3
2020-04-14,,,713,597,28,209,29,81,10,35,3
2020-04-15,,,747,606,34,218,31,105,24,36,1
2020-04-16,,,800,640,53,227,37,122,17,38,2
2020-04-17,,,846,664,46,244,34,141,19,41,3
2020-04-18,,,878,684,32,246,35,153,12,41,0
2020-04-19,,,894,691,16,259,36,161,8,42,1
2020-04-20,,,929,719,35,268,34,167,6,43,1
2020-04-21,,,975,760,46,281,40,170,3,45,2
2020-04-22,,,1024,801,49,262,37,174,4,49,4
2020-04-23,,,1097,855,73,270,37,190,16,52,3
2020-04-24,,,1188,941,91,282,41,193,3,54,2
2020-04-25,,,1247,995,59,292,37,197,4,55,1
2020-04-26,,,1300,1039,53,301,41,205,8,56,1
2020-04-27,,,1363,1099,63,301,39,206,1,58,2
2020-04-28,,,1399,1119,36,287,39,222,16,58,0
2020-04-29,,,1447,1140,48,310,38,243,21,64,6
2020-04-30,,,1506,1174,59,317,40,266,23,66,2
2020-05-01,,,1555,1211,49,317,43,276,10,68,2
2020-05-02,,,1594,1235,39,321,40,287,11,72,4
2020-05-03,,,1618,1237,24,316,39,308,21,73,1
2020-05-04,,,1652,1253,34,321,37,321,13,78,5
2020-05-05,,,1704,1282,52,316,39,342,21,80,2
2020-05-06,,,1778,1334,74,353,38,360,18,84,4
2020-05-07,,,1829,1361,51,355,43,384,24,84,0
2020-05-08,,,1872,1385,43,379,49,401,17,86,2
2020-05-09,,,1921,1409,49,389,56,422,21,90,4
2020-05-10,,,1965,1430,44,385,58,444,22,91,1
2020-05-11,,,1990,1436,25,368,50,461,17,93,2
2020-05-12,,1079,2023,1452,33,365,51,476,15,95,2
2020-05-13,,1387,2069,1474,46,365,51,499,23,96,1
2020-05-14,,1611,2100,1480,31,365,51,521,22,99,3
2020-05-15,,1608,2138,1491,38,321,49,545,24,102,3
2020-05-16,,1161,2175,1497,37,322,45,573,28,105,3
2020-05-17,,1094,2211,1505,36,323,46,598,25,108,3
2020-05-18,,362,2235,1513,24,329,43,612,14,110,2
2020-05-19,,874,2259,1501,24,299,36,646,34,112,2
2020-05-20,,1432,2292,1492,33,285,33,684,38,116,4
2020-05-21,,1912,2331,1484,39,287,31,727,43,120,4
2020-05-22,,1450,2372,1478,41,258,29,769,42,125,5
2020-05-23,,1605,2408,1474,36,258,29,808,39,126,1
2020-05-24,,886,2427,1457,19,247,25,840,32,130,4
2020-05-25,,443,2433,1441,6,235,20,862,22,130,0
2020-05-26,,295,2443,1433,10,226,21,880,18,130,0
2020-05-27,,1557,2460,1415,17,217,22,912,32,133,3
2020-05-28,,1273,2477,1378,17,198,20,965,53,134,1
2020-05-29,,1725,2485,1333,8,186.75,19,1016,51,136,2
2020-05-30,,1353,2499,1296,14,175.5,18,1064,48,139,3
2020-05-31,,606,2513,1299,14,164.25,17,1074,10,140,1
2020-06-01,,346,2519,1289,6,153,16,1090,16,140,0
2020-06-02,,1220,2538,1271,19,141,20,1123,33,144,4
2020-06-03,,1347,2560,1208,22,132,9,1206,83,146,2
2020-06-04,,1174,2585,1116,25,141,8,1322,116,147,1
2020-06-05,,223,2627,1078,42,149,8,1390,68,159,12
